_id,point_id,opc_tag,describe,device_description_chinese,serial,instrument,device_name_chinese,belong_co,status,value_min,value_max,unit,last_monitor_time,thickener_id,mixer_id,value_max_2,value_min_2
{'$oid': '604c8a4e1349e5c153ca6986'},80,SOUTHEASTORE_PRJ_OS::FIC-311TH01B/OCS.SP,#1 Thickener Discharge Flow(write tag),#1浓密机底流流量(OPC写入),FIC-311TH01B,Flow Controller,流量控制,METSO,normal,0,0,-,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a4e1349e5c153ca6987'},81,SOUTHEASTORE_PRJ_OS::FIC-311TH02B/OCS.SP,#2 Thickener Discharge Flow(write tag),#2浓密机底流流量(OPC写入),FIC-311TH02B,Flow Controller,流量控制,METSO,normal,0,0,-,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a4e1349e5c153ca6988'},82,SOUTHEASTORE_PRJ_OS::Dosing$Pump$A/OCS.SP,#1 Thickener flocculant Flow(write tag),#1絮凝剂流量(OPC写入),FI-311FL01D,Flocculant Addition Controller,絮凝剂添加量控制,METSO,normal,0,0,-,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a4e1349e5c153ca6989'},83,SOUTHEASTORE_PRJ_OS::Dosing$Pump$C/OCS.SP,#2 Thickener flocculant Flow(write tag),#2絮凝剂流量(OPC写入),FI-311FL01C,Flocculant Addition Controller,絮凝剂添加量控制,METSO,normal,0,0,-,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '6082815b677f000062003ba4'},71,SOUTHEASTORE_PRJ_OS::HIS-210FDM01/Motor.SP_Out#Value,#1 Instant Cement Delivery,#1 搅拌机水泥添加速度(DCS系统设定值),HIS-210FDM01,Cement Conveyor Belt,水泥传送带,METSO,normal,0,200,t/h,{'$date': '2019-11-25T12:24:40Z'},0,1,0,0
{'$oid': '60828192677f000062003ba5'},72,SOUTHEASTORE_PRJ_OS::HIS-210FDM02/Motor.SP_Out#Value,#2 Instant Cement Delivery,#2 搅拌机水泥添加速度(DCS系统设定值),HIS-210FDM01,Cement Conveyor Belt,水泥传送带,METSO,normal,0,200,t/h,{'$date': '2019-11-25T12:24:40Z'},0,2,0,0
{'$oid': '6087c8678c53000092004fb2'},84,SOUTHEASTORE_PRJ_OS::Dosing$Pump$A/OCS.PV_Out#Value,#1 Thickener flocculant Flow,#1絮凝剂流量(跟踪值),FI-311FL01D,Flocculant,絮凝剂添加量控制,USTB1001,normal,0,20,g/T,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '6087c8878c53000092004fb3'},85,SOUTHEASTORE_PRJ_OS::Dosing$Pump$A/OCS.PV_Out#Value,#2 Thickener flocculant Flow,#2絮凝剂流量(跟踪值),FI-311FL02D,Flocculant,絮凝剂添加量控制,USTB1001,normal,0,20,g/T,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '6090017e711a0000ca005bf5'},86,NULL,#1 Mixer Cement Sand Ratio(Calculation),#1搅拌机灰砂比(计算值),HIS-210FDM01,Cement Ratio Controller,灰砂比控制,METSO,normal,0,0,-,{'$date': '2019-11-25T12:24:40Z'},0,1,0,0
{'$oid': '609001cc711a0000ca005bf6'},87,NULL,#2 Mixer Cement Sand Ratio(Calculation),#2搅拌机灰砂比(计算值),HIS-210FDM02,Cement Ratio Controller,灰砂比控制,METSO,normal,0,0,-,{'$date': '2019-11-25T12:24:40Z'},0,2,0,0
{'$oid': '609938cd0166000071003502'},88,SOUTHEASTORE_PRJ_OS::Dosing$Pump$A/Flow_SP.SP_Out#Value,#1 Thickener flocculant Flow(DCS system setpoint),#1絮凝剂流量(DCS系统设定值),FI-311FL01D,Flocculant Addition Controller,絮凝剂添加量控制,METSO,normal,0,0,-,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
